(.venv) C:\Users\busyp\CCIR>python scripts\train.py --epochs 10 --batch_size 64 --device cuda
Device: cuda
Loading BioMedCLIP...
Model on: cuda:0
Trainable params: 57,522,177 / 195,902,721 (29.4%)
Loading tokenizer...
Tokenizer ready.
Loading OrganAMNIST...
OrganAMNIST loaded.
Loading captions...
Pre-tokenizing captions...
Captions ready.
Datasets wrapped.
DataLoaders ready.
Train: 34561 images | Val: 6491 images
Starting training: 10 epochs, lr=0.0001, batch=64
Image tensor device: cuda:0
Token tensor device: cuda:0
Model device: cuda:0
  batch 1/541 | loss=1678.8481
  batch 2/541 | loss=1679.0746
  batch 3/541 | loss=1656.2791
  batch 4/541 | loss=1659.3338
  batch 5/541 | loss=1644.8955
  batch 6/541 | loss=1629.5320
  batch 7/541 | loss=1612.6150
  batch 8/541 | loss=1595.7781
  batch 9/541 | loss=1569.0101
  batch 10/541 | loss=1540.3444
  batch 11/541 | loss=1507.5090
  batch 12/541 | loss=1471.2001
  batch 13/541 | loss=1432.1813
  batch 14/541 | loss=1393.1373
  batch 15/541 | loss=1347.0653
  batch 16/541 | loss=1301.5465
  batch 17/541 | loss=1249.7825
  batch 18/541 | loss=1198.5827
  batch 19/541 | loss=1147.9088
  batch 20/541 | loss=1096.1844
  batch 21/541 | loss=1047.2314
  batch 22/541 | loss=1001.1903
  batch 23/541 | loss=958.5127
  batch 24/541 | loss=919.1526
  batch 25/541 | loss=883.2855
  batch 26/541 | loss=850.0509
  batch 27/541 | loss=819.2700
  batch 28/541 | loss=790.7086
  batch 29/541 | loss=764.0974
  batch 30/541 | loss=739.2215
  batch 31/541 | loss=715.8825
  batch 32/541 | loss=693.9510
  batch 33/541 | loss=673.3185
  batch 34/541 | loss=653.9015
  batch 35/541 | loss=635.5035
  batch 36/541 | loss=618.1265
  batch 37/541 | loss=601.7370
  batch 38/541 | loss=586.2837
  batch 39/541 | loss=571.5241
  batch 40/541 | loss=557.5020
  batch 41/541 | loss=544.0746
  batch 42/541 | loss=531.2969
  batch 43/541 | loss=519.1355
  batch 44/541 | loss=507.5160
  batch 45/541 | loss=496.4006
  batch 46/541 | loss=485.7460
  batch 47/541 | loss=475.5500
  batch 48/541 | loss=465.7738
  batch 49/541 | loss=456.4050
  batch 50/541 | loss=447.3903
  batch 51/541 | loss=438.7279
  batch 52/541 | loss=430.4023
  batch 53/541 | loss=422.3850
  batch 54/541 | loss=414.6581
  batch 55/541 | loss=407.2148
  batch 56/541 | loss=400.0281
  batch 57/541 | loss=393.0893
  batch 58/541 | loss=386.3934
  batch 59/541 | loss=379.9206
  batch 60/541 | loss=373.6594
  batch 61/541 | loss=367.6212
  batch 62/541 | loss=361.7768
  batch 63/541 | loss=356.1043
  batch 64/541 | loss=350.6087
  batch 65/541 | loss=345.2844
  batch 66/541 | loss=340.1361
  batch 67/541 | loss=335.1245
  batch 68/541 | loss=330.2613
  batch 69/541 | loss=325.5418
  batch 70/541 | loss=320.9568
  batch 71/541 | loss=316.4978
  batch 72/541 | loss=312.1689
  batch 73/541 | loss=307.9556
  batch 74/541 | loss=303.8501
